C;T,AGUDELO,Spezia
C;T,KRUNIC,Milan
C,MORA,Spezia
A,OUNAS,Cagliari
W,PARIGINI,Genoa
T,PASTORE,Roma
Por,RAFAEL,Spezia
Pc,LA GUMINA,Sampdoria
Pc,DRAGUS,Crotone
M;C,SCHIATTARELLA,Benevento
M;C,POLI,Bologna
M;C,BRADARIC,Cagliari
M;C,DEIOLA,Spezia
M;C,DABO,Benevento
M;C,SCOZZARELLA,Parma
M;C,VIEIRA,Verona
M,OLIVA,Cagliari
Ds;E,RECA,Crotone
Ds;E,LYKOGIANNIS,Cagliari
Ds;E,MAZZOTTA,Crotone
Ds;E,GHOULAM,Napoli
Ds;E,RAMOS,Spezia
Ds;E,BARRECA,Fiorentina
Ds;Dc,DELL'ORCO,Spezia
Ds;Dc,MARCHIZZA,Spezia
Ds;Dc,PELUSO,Sassuolo
Dd;E,FARAGO',Cagliari
Dd;E,ZAPPA,Cagliari
Dd;E,KARSDORP,Roma
Dd;E,PEREIRA P.,Crotone
Dd;Ds;E,MATTIELLO,Spezia
Dd;Ds;E,VENUTI,Fiorentina
Dd;Ds;E,HICKEY,Bologna
Dd;Dc;E,SINGO,Torino
Dd;Dc,MASIELLO,Genoa
Dc,TUIA,Benevento
Dc,DUARTE,Milan
Dc,GABBIA,Milan
Dc,CHABOT,Spezia
Dc,DAWIDOWICZ,Verona
Dc,LOVATO,Verona
C;T,CROCIATA,Crotone
C;T,ARSLAN,Udinese
C,KHEDIRA,Juventus
C,LUKIC,Torino
C,SEGRE,Torino
A,MIHAILA,Parma
W,SPROCATI,Parma
Por,SPORTIELLO,Atalanta
Pc,MONCINI,Benevento
Pc,CERRI,Cagliari
Pc,COLOMBO,Milan
Pc,RASPADORI,Sassuolo
M;C,ACAMPORA,Spezia
M;C,BADU,Verona
M;C,AKPA AKPRO,Lazio
M;C,COULIBALY,Udinese
M;C,LEO' SENA,Spezia
M,MAGNANELLI,Sassuolo
M,SOHM,Parma
Ds;E,FOULON,Benevento
Ds;E,FRABOTTA,Juventus
Ds;Dc,BARBA,Benevento
Ds;Dc,LUPERTO,Crotone
Ds;Dc,DJIDJI,Crotone
Dd;E,MAGGIO,Benevento
Dd;E,VIGNALI,Spezia
Dd;Ds;E,MBAYE,Bologna
